City,Country,Population (2025)
Apia,Samoa,60041.65661
Nuku'alofa,Tonga,51990.7662
Papeete,French Polynesia,109747.1257
Honiara,Solomon Islands,137201.4211
Nouméa,New Caledonia,153190.4912
Port Vila,Vanuatu,72613.04782
Lautoka,Fiji,53550.44076
Tari,Papua New Guinea,70504.60599
Suva,Fiji,242909.9953
Mendi,Papua New Guinea,125843.2967
Wabag,Papua New Guinea,52455.43085
Mount Hagen,Papua New Guinea,100523.7956
Ganigle,Papua New Guinea,59693.26392
Kundiawa,Papua New Guinea,87985.85515
Goroka,Papua New Guinea,92211.42448
Madang,Papua New Guinea,88137.98919
Port Moresby,Papua New Guinea,442164.8952
Lae,Papua New Guinea,116211.7912
Mindelo,Cabo Verde,88273.87923
Dakar,Senegal,3970201.794
Serrekunda,Gambia,1313464.797
Nouadhibou,Mauritania,177468.9802
Bissau,Guinea-Bissau,674444.3312
Kamsar,Guinea,127957.5515
Freetown,Sierra Leone,2150532.945
Kayes,Mali,287390.9855
Monrovia,Liberia,2049817.566
Danané,Côte d'Ivoire,101136.3078
Niangoloko,Burkina Faso,73780.51196
Dormaa Ahenkro,Ghana,84688.8429
Cinkassé,Togo,77949.04564
Téra,Niger,98781.27049
Tanguieta,Benin,51645.32078
Idi-Iroko,Nigeria,120092.9649
São Tomé,São Tomé and Príncipe,154878.0805
Malabo,Equatorial Guinea,729478.227
Port-Gentil,Gabon,103562.4293
Limbe,Cameroon,210456.087
Tômbua,Angola,78748.71133
Pointe-Noire,Republic of the Congo,665655.8464
Moanda,Democratic Republic of the Congo,76337.06924
Walvis Bay,Namibia,84904.15708
Léré,Chad,74772.16287
Bouar,Central African Republic,71859.10554
Tierkloof,South Africa,52800.97695
Mongu,Zambia,121413.393
Kanye,Botswana,52205.61235
Maseru,Lesotho,296516.0661
Bulawayo,Zimbabwe,492010.9037
Wau,South Sudan,115385.1009
Cibitoke,Burundi,56028.19568
Rubavu,Rwanda,342554.9873
Manzini,Swaziland,93405.68221
Kigoma,Tanzania,347891.7651
Bwera,Uganda,123131.252
Matola-Rio,Mozambique,54128.19009
Kasungu,Malawi,59047.0707
Busia,Kenya,86348.98529
Teseney,Eritrea,98083.8909
Dhobley,Somalia,57159.53044
Toliara,Madagascar,118186.7567
Ali Sabieh,Djibouti,86780.63403
Moroni,Comoros,175832.4714
Mamoudzou,Mayotte,127510.6566
Le Port,Réunion,105572.3109
Port Louis,Mauritius,557430.5551
João Teves,Cabo Verde,161477.1755
M'bour,Senegal,506407.1053
Brikama,Gambia,213625.807
Nouakchott,Mauritania,1625383.896
Bafatá,Guinea-Bissau,69724.70242
Boké,Guinea,58796.60876
Mahera,Sierra Leone,97367.24621
Kakata,Liberia,78566.32827
Kita,Mali,80559.87679
Man,Côte d'Ivoire,205655.7066
Banfora,Burkina Faso,187824.0147
Kato,Ghana,137807.4493
Dapaong,Togo,215916.3371
Natitingou,Benin,66756.99089
Tillabéri,Niger,80356.15878
Meko,Nigeria,86917.24776
Buea,Cameroon,189165.1939
Bata,Equatorial Guinea,789800.2459
Moçâmedes,Angola,405248.6373
Tshela,Democratic Republic of the Congo,133137.7321
Sibiti,Republic of the Congo,60351.78908
Swakopmund,Namibia,77246.78387
Pala,Chad,129935.2493
Carnot,Central African Republic,90317.37297
Masiphumelele,South Africa,50831.16264
Molepolole,Botswana,121562.1229
Mwinilunga,Zambia,52434.34108
Yambio,South Sudan,102732.5936
Mkoba,Zimbabwe,54654.32832
